,Mode,,Frequency,,Isotopologue
MODE,32,FREQUENCY=,124.7336,(CM**-1),CHHHD
MODE,33,FREQUENCY=,128.03636,(CM**-1),CHHHD
MODE,34,FREQUENCY=,134.72409,(CM**-1),CHHHD
MODE,35,FREQUENCY=,138.47282,(CM**-1),CHHHD
MODE,36,FREQUENCY=,140.57118,(CM**-1),CHHHD
MODE,37,FREQUENCY=,141.87777,(CM**-1),CHHHD
MODE,38,FREQUENCY=,147.58529,(CM**-1),CHHHD
MODE,39,FREQUENCY=,155.54703,(CM**-1),CHHHD
MODE,40,FREQUENCY=,156.8303,(CM**-1),CHHHD
MODE,41,FREQUENCY=,163.10112,(CM**-1),CHHHD
MODE,42,FREQUENCY=,166.90643,(CM**-1),CHHHD
MODE,43,FREQUENCY=,170.51861,(CM**-1),CHHHD
MODE,44,FREQUENCY=,172.36065,(CM**-1),CHHHD
MODE,45,FREQUENCY=,178.70762,(CM**-1),CHHHD
MODE,46,FREQUENCY=,189.6653,(CM**-1),CHHHD
MODE,47,FREQUENCY=,196.78735,(CM**-1),CHHHD
MODE,48,FREQUENCY=,206.36262,(CM**-1),CHHHD
MODE,49,FREQUENCY=,212.8284,(CM**-1),CHHHD
MODE,50,FREQUENCY=,218.71404,(CM**-1),CHHHD
MODE,51,FREQUENCY=,234.92495,(CM**-1),CHHHD
MODE,52,FREQUENCY=,244.01973,(CM**-1),CHHHD
MODE,53,FREQUENCY=,275.83342,(CM**-1),CHHHD
MODE,54,FREQUENCY=,277.71832,(CM**-1),CHHHD
MODE,55,FREQUENCY=,282.75185,(CM**-1),CHHHD
MODE,56,FREQUENCY=,295.09962,(CM**-1),CHHHD
MODE,57,FREQUENCY=,317.29943,(CM**-1),CHHHD
MODE,58,FREQUENCY=,320.47546,(CM**-1),CHHHD
MODE,59,FREQUENCY=,327.78615,(CM**-1),CHHHD
MODE,60,FREQUENCY=,349.61122,(CM**-1),CHHHD
MODE,61,FREQUENCY=,356.09471,(CM**-1),CHHHD
MODE,62,FREQUENCY=,362.37233,(CM**-1),CHHHD
MODE,63,FREQUENCY=,367.00518,(CM**-1),CHHHD
MODE,64,FREQUENCY=,373.84018,(CM**-1),CHHHD
MODE,65,FREQUENCY=,386.7282,(CM**-1),CHHHD
MODE,66,FREQUENCY=,441.89369,(CM**-1),CHHHD
MODE,67,FREQUENCY=,456.47908,(CM**-1),CHHHD
MODE,68,FREQUENCY=,486.51097,(CM**-1),CHHHD
MODE,69,FREQUENCY=,517.95464,(CM**-1),CHHHD
MODE,70,FREQUENCY=,528.68184,(CM**-1),CHHHD
MODE,71,FREQUENCY=,531.63686,(CM**-1),CHHHD
MODE,72,FREQUENCY=,540.00031,(CM**-1),CHHHD
MODE,73,FREQUENCY=,556.58941,(CM**-1),CHHHD
MODE,74,FREQUENCY=,576.27679,(CM**-1),CHHHD
MODE,75,FREQUENCY=,589.90268,(CM**-1),CHHHD
MODE,76,FREQUENCY=,597.43421,(CM**-1),CHHHD
MODE,77,FREQUENCY=,609.65187,(CM**-1),CHHHD
MODE,78,FREQUENCY=,612.88778,(CM**-1),CHHHD
MODE,79,FREQUENCY=,615.39744,(CM**-1),CHHHD
MODE,80,FREQUENCY=,629.74357,(CM**-1),CHHHD
