f_100,d13C_100,dD_100,D13CH3D_100,D12CH2D2_100,f_66,d13C_66,dD_66,D13CH3D_66,D12CH2D2_66,f_33,d13C_33,dD_33,D13CH3D_33,D12CH2D2_33,f_0,d13C_0,dD_0,D13CH3D_0,D12CH2D2_0
0.9994,-41.35521,-169.37998,3.10499,8.21893,0.9994,-41.35495,-169.38103,3.10615,8.21828,0.9994,-41.3547,-169.3821,3.10729,8.21766,0.9994,-41.35446,-169.38316,3.10842,8.21704
0.99939,-41.35498,-169.37811,3.10494,8.21868,0.99939,-41.35471,-169.37918,3.10612,8.21801,0.99939,-41.35446,-169.38027,3.10727,8.21738,0.99939,-41.35421,-169.38135,3.10842,8.21675
0.99938,-41.35475,-169.37624,3.10489,8.21842,0.99938,-41.35448,-169.37733,3.10609,8.21774,0.99938,-41.35422,-169.37844,3.10726,8.2171,0.99938,-41.35397,-169.37954,3.10843,8.21646
0.99937,-41.35452,-169.37438,3.10483,8.21816,0.99937,-41.35424,-169.37549,3.10606,8.21747,0.99937,-41.35398,-169.37661,3.10724,8.21682,0.99937,-41.35372,-169.37773,3.10843,8.21617
0.99936,-41.35428,-169.37251,3.10478,8.2179,0.99936,-41.35401,-169.37364,3.10602,8.2172,0.99936,-41.35374,-169.37478,3.10723,8.21654,0.99936,-41.35348,-169.37592,3.10844,8.21588
0.99935,-41.35405,-169.37065,3.10473,8.21764,0.99935,-41.35377,-169.37179,3.10599,8.21693,0.99935,-41.3535,-169.37295,3.10722,8.21626,0.99935,-41.35323,-169.37411,3.10844,8.21559
0.99934,-41.35382,-169.36878,3.10468,8.21738,0.99934,-41.35353,-169.36994,3.10596,8.21666,0.99934,-41.35326,-169.37112,3.1072,8.21598,0.99934,-41.35299,-169.3723,3.10845,8.2153
0.99933,-41.35359,-169.36691,3.10463,8.21713,0.99933,-41.3533,-169.3681,3.10592,8.2164,0.99933,-41.35302,-169.36929,3.10719,8.2157,0.99933,-41.35275,-169.37048,3.10845,8.21501
0.99932,-41.35336,-169.36505,3.10457,8.21687,0.99932,-41.35306,-169.36625,3.10589,8.21613,0.99932,-41.35278,-169.36746,3.10718,8.21543,0.99932,-41.3525,-169.36867,3.10846,8.21472
0.99931,-41.35312,-169.36318,3.10452,8.21661,0.99931,-41.35282,-169.3644,3.10586,8.21586,0.99931,-41.35254,-169.36563,3.10716,8.21515,0.99931,-41.35226,-169.36686,3.10846,8.21444
0.9993,-41.35289,-169.36132,3.10447,8.21635,0.9993,-41.35259,-169.36256,3.10583,8.21559,0.9993,-41.3523,-169.3638,3.10715,8.21487,0.9993,-41.35201,-169.36505,3.10847,8.21415
0.99929,-41.35266,-169.35945,3.10442,8.21609,0.99929,-41.35235,-169.36071,3.10579,8.21532,0.99929,-41.35206,-169.36197,3.10713,8.21459,0.99929,-41.35177,-169.36324,3.10847,8.21386
0.99928,-41.35243,-169.35759,3.10436,8.21584,0.99928,-41.35212,-169.35886,3.10576,8.21505,0.99928,-41.35182,-169.36014,3.10712,8.21431,0.99928,-41.35152,-169.36143,3.10848,8.21357
0.99927,-41.3522,-169.35572,3.10431,8.21558,0.99927,-41.35188,-169.35701,3.10573,8.21478,0.99927,-41.35158,-169.35832,3.10711,8.21403,0.99927,-41.35128,-169.35962,3.10848,8.21328
0.99926,-41.35196,-169.35385,3.10426,8.21532,0.99926,-41.35164,-169.35517,3.1057,8.21451,0.99926,-41.35134,-169.35649,3.10709,8.21375,0.99926,-41.35104,-169.3578,3.10849,8.21299
0.99925,-41.35173,-169.35199,3.10421,8.21506,0.99925,-41.35141,-169.35332,3.10566,8.21425,0.99925,-41.3511,-169.35466,3.10708,8.21347,0.99925,-41.35079,-169.35599,3.10849,8.2127
0.99924,-41.3515,-169.35012,3.10416,8.2148,0.99924,-41.35117,-169.35147,3.10563,8.21398,0.99924,-41.35086,-169.35283,3.10706,8.21319,0.99924,-41.35055,-169.35418,3.1085,8.21241
0.99923,-41.35127,-169.34826,3.1041,8.21454,0.99923,-41.35094,-169.34963,3.1056,8.21371,0.99923,-41.35062,-169.351,3.10705,8.21291,0.99923,-41.3503,-169.35237,3.1085,8.21212
0.99922,-41.35104,-169.34639,3.10405,8.21429,0.99922,-41.3507,-169.34778,3.10557,8.21344,0.99922,-41.35038,-169.34917,3.10704,8.21264,0.99922,-41.35006,-169.35056,3.10851,8.21183
0.99921,-41.3508,-169.34453,3.104,8.21403,0.99921,-41.35046,-169.34593,3.10553,8.21317,0.99921,-41.35014,-169.34734,3.10702,8.21236,0.99921,-41.34981,-169.34875,3.10851,8.21154
0.9992,-41.35057,-169.34266,3.10395,8.21377,0.9992,-41.35023,-169.34409,3.1055,8.2129,0.9992,-41.3499,-169.34551,3.10701,8.21208,0.9992,-41.34957,-169.34694,3.10852,8.21125
0.99919,-41.35034,-169.34079,3.10389,8.21351,0.99919,-41.34999,-169.34224,3.10547,8.21263,0.99919,-41.34966,-169.34368,3.107,8.2118,0.99919,-41.34932,-169.34512,3.10852,8.21096
0.99918,-41.35011,-169.33893,3.10384,8.21325,0.99918,-41.34975,-169.34039,3.10543,8.21237,0.99918,-41.34942,-169.34185,3.10698,8.21152,0.99918,-41.34908,-169.34331,3.10853,8.21067
0.99917,-41.34988,-169.33706,3.10379,8.213,0.99917,-41.34952,-169.33854,3.1054,8.2121,0.99917,-41.34918,-169.34002,3.10697,8.21124,0.99917,-41.34884,-169.3415,3.10853,8.21038
0.99916,-41.34964,-169.3352,3.10374,8.21274,0.99916,-41.34928,-169.3367,3.10537,8.21183,0.99916,-41.34894,-169.33819,3.10695,8.21096,0.99916,-41.34859,-169.33969,3.10854,8.2101
0.99915,-41.34941,-169.33333,3.10369,8.21248,0.99915,-41.34905,-169.33485,3.10534,8.21156,0.99915,-41.3487,-169.33636,3.10694,8.21068,0.99915,-41.34835,-169.33788,3.10854,8.20981
0.99914,-41.34918,-169.33147,3.10363,8.21222,0.99914,-41.34881,-169.333,3.1053,8.21129,0.99914,-41.34846,-169.33453,3.10693,8.2104,0.99914,-41.3481,-169.33607,3.10855,8.20952
0.99913,-41.34895,-169.3296,3.10358,8.21196,0.99913,-41.34857,-169.33116,3.10527,8.21102,0.99913,-41.34822,-169.33271,3.10691,8.21012,0.99913,-41.34786,-169.33426,3.10855,8.20923
0.99912,-41.34872,-169.32774,3.10353,8.2117,0.99912,-41.34834,-169.32931,3.10524,8.21075,0.99912,-41.34797,-169.33088,3.1069,8.20985,0.99912,-41.34761,-169.33244,3.10856,8.20894
0.99911,-41.34848,-169.32587,3.10348,8.21145,0.99911,-41.3481,-169.32746,3.10521,8.21048,0.99911,-41.34773,-169.32905,3.10688,8.20957,0.99911,-41.34737,-169.33063,3.10856,8.20865
0.9991,-41.34825,-169.324,3.10343,8.21119,0.9991,-41.34786,-169.32561,3.10517,8.21022,0.9991,-41.34749,-169.32722,3.10687,8.20929,0.9991,-41.34712,-169.32882,3.10857,8.20836
0.99909,-41.34802,-169.32214,3.10337,8.21093,0.99909,-41.34763,-169.32377,3.10514,8.20995,0.99909,-41.34725,-169.32539,3.10686,8.20901,0.99909,-41.34688,-169.32701,3.10857,8.20807
0.99908,-41.34779,-169.32027,3.10332,8.21067,0.99908,-41.34739,-169.32192,3.10511,8.20968,0.99908,-41.34701,-169.32356,3.10684,8.20873,0.99908,-41.34664,-169.3252,3.10858,8.20778
0.99907,-41.34756,-169.31841,3.10327,8.21041,0.99907,-41.34716,-169.32007,3.10507,8.20941,0.99907,-41.34677,-169.32173,3.10683,8.20845,0.99907,-41.34639,-169.32339,3.10858,8.20749
0.99906,-41.34732,-169.31654,3.10322,8.21016,0.99906,-41.34692,-169.31822,3.10504,8.20914,0.99906,-41.34653,-169.3199,3.10682,8.20817,0.99906,-41.34615,-169.32157,3.10859,8.2072
0.99905,-41.34709,-169.31468,3.10316,8.2099,0.99905,-41.34668,-169.31638,3.10501,8.20887,0.99905,-41.34629,-169.31807,3.1068,8.20789,0.99905,-41.3459,-169.31976,3.10859,8.20691
0.99904,-41.34686,-169.31281,3.10311,8.20964,0.99904,-41.34645,-169.31453,3.10498,8.2086,0.99904,-41.34605,-169.31624,3.10679,8.20761,0.99904,-41.34566,-169.31795,3.1086,8.20662
0.99903,-41.34663,-169.31095,3.10306,8.20938,0.99903,-41.34621,-169.31268,3.10494,8.20833,0.99903,-41.34581,-169.31441,3.10677,8.20733,0.99903,-41.34541,-169.31614,3.1086,8.20633
0.99902,-41.3464,-169.30908,3.10301,8.20912,0.99902,-41.34597,-169.31084,3.10491,8.20807,0.99902,-41.34557,-169.31258,3.10676,8.20706,0.99902,-41.34517,-169.31433,3.10861,8.20604
0.99901,-41.34616,-169.30722,3.10296,8.20887,0.99901,-41.34574,-169.30899,3.10488,8.2078,0.99901,-41.34533,-169.31075,3.10675,8.20678,0.99901,-41.34492,-169.31252,3.10861,8.20576
0.999,-41.34593,-169.30535,3.1029,8.20861,0.999,-41.3455,-169.30714,3.10485,8.20753,0.999,-41.34509,-169.30892,3.10673,8.2065,0.999,-41.34468,-169.3107,3.10862,8.20547
0.99899,-41.3457,-169.30348,3.10285,8.20835,0.99899,-41.34527,-169.30529,3.10481,8.20726,0.99899,-41.34485,-169.30709,3.10672,8.20622,0.99899,-41.34444,-169.30889,3.10862,8.20518
