,Mode,,Frequency,,Isotopologue
MODE,341,FREQUENCY=,76.00263,(CM**-1),CDDHD
MODE,342,FREQUENCY=,87.29576,(CM**-1),CDDHD
MODE,343,FREQUENCY=,113.67702,(CM**-1),CDDHD
MODE,344,FREQUENCY=,124.37516,(CM**-1),CDDHD
MODE,345,FREQUENCY=,128.80995,(CM**-1),CDDHD
MODE,346,FREQUENCY=,204.52723,(CM**-1),CDDHD
MODE,347,FREQUENCY=,220.17884,(CM**-1),CDDHD
MODE,348,FREQUENCY=,230.76726,(CM**-1),CDDHD
MODE,349,FREQUENCY=,313.85942,(CM**-1),CDDHD
MODE,350,FREQUENCY=,350.69028,(CM**-1),CDDHD
MODE,351,FREQUENCY=,370.49591,(CM**-1),CDDHD
MODE,352,FREQUENCY=,406.94679,(CM**-1),CDDHD
MODE,353,FREQUENCY=,544.07341,(CM**-1),CDDHD
MODE,354,FREQUENCY=,685.74735,(CM**-1),CDDHD
MODE,355,FREQUENCY=,1060.52731,(CM**-1),CDDHD
MODE,356,FREQUENCY=,1317.39296,(CM**-1),CDDHD
MODE,357,FREQUENCY=,1863.04952,(CM**-1),CDDHD
MODE,358,FREQUENCY=,2297.33829,(CM**-1),CDDHD
MODE,359,FREQUENCY=,2468.23505,(CM**-1),CDDHD
MODE,360,FREQUENCY=,3265.31312,(CM**-1),CDDHD
,,,,,
,,,,,
12-2-2-2-1,,,,,
MODE,1,FREQUENCY=,-139.17527,(CM**-1),CDDDH
MODE,341,FREQUENCY=,73.09383,(CM**-1),CDDDH
MODE,342,FREQUENCY=,85.33727,(CM**-1),CDDDH
MODE,343,FREQUENCY=,104.38979,(CM**-1),CDDDH
MODE,344,FREQUENCY=,128.11943,(CM**-1),CDDDH
MODE,345,FREQUENCY=,131.3094,(CM**-1),CDDDH
MODE,346,FREQUENCY=,204.0787,(CM**-1),CDDDH
MODE,347,FREQUENCY=,218.071,(CM**-1),CDDDH
MODE,348,FREQUENCY=,289.94202,(CM**-1),CDDDH
MODE,349,FREQUENCY=,320.90684,(CM**-1),CDDDH
MODE,350,FREQUENCY=,344.32751,(CM**-1),CDDDH
MODE,351,FREQUENCY=,357.94145,(CM**-1),CDDDH
