,Mode,,Frequency,,Isotopologue
MODE,11,FREQUENCY=,36.73208,(CM**-1),CHHHD
MODE,12,FREQUENCY=,42.86187,(CM**-1),CHHHD
MODE,13,FREQUENCY=,46.18276,(CM**-1),CHHHD
MODE,14,FREQUENCY=,49.58520,(CM**-1),CHHHD
MODE,15,FREQUENCY=,51.96307,(CM**-1),CHHHD
MODE,16,FREQUENCY=,53.49507,(CM**-1),CHHHD
MODE,17,FREQUENCY=,58.98715,(CM**-1),CHHHD
MODE,18,FREQUENCY=,65.35350,(CM**-1),CHHHD
MODE,19,FREQUENCY=,67.55830,(CM**-1),CHHHD
MODE,20,FREQUENCY=,75.35102,(CM**-1),CHHHD
MODE,21,FREQUENCY=,77.04449,(CM**-1),CHHHD
MODE,22,FREQUENCY=,83.05998,(CM**-1),CHHHD
MODE,23,FREQUENCY=,89.04393,(CM**-1),CHHHD
MODE,24,FREQUENCY=,90.39557,(CM**-1),CHHHD
MODE,25,FREQUENCY=,96.75223,(CM**-1),CHHHD
MODE,26,FREQUENCY=,102.24190,(CM**-1),CHHHD
MODE,27,FREQUENCY=,107.29315,(CM**-1),CHHHD
MODE,28,FREQUENCY=,112.45819,(CM**-1),CHHHD
MODE,29,FREQUENCY=,114.25553,(CM**-1),CHHHD
MODE,30,FREQUENCY=,115.67147,(CM**-1),CHHHD
MODE,31,FREQUENCY=,122.19259,(CM**-1),CHHHD
MODE,32,FREQUENCY=,124.60141,(CM**-1),CHHHD
MODE,33,FREQUENCY=,127.30586,(CM**-1),CHHHD
MODE,34,FREQUENCY=,137.34303,(CM**-1),CHHHD
MODE,35,FREQUENCY=,138.50218,(CM**-1),CHHHD
MODE,36,FREQUENCY=,148.44686,(CM**-1),CHHHD
MODE,37,FREQUENCY=,153.31742,(CM**-1),CHHHD
MODE,38,FREQUENCY=,157.08422,(CM**-1),CHHHD
MODE,39,FREQUENCY=,160.27195,(CM**-1),CHHHD
MODE,40,FREQUENCY=,165.00918,(CM**-1),CHHHD
MODE,41,FREQUENCY=,168.56301,(CM**-1),CHHHD
MODE,42,FREQUENCY=,172.80846,(CM**-1),CHHHD
MODE,43,FREQUENCY=,175.33654,(CM**-1),CHHHD
MODE,44,FREQUENCY=,182.97777,(CM**-1),CHHHD
MODE,45,FREQUENCY=,183.86213,(CM**-1),CHHHD
MODE,46,FREQUENCY=,197.73567,(CM**-1),CHHHD
MODE,47,FREQUENCY=,199.35524,(CM**-1),CHHHD
MODE,48,FREQUENCY=,207.07087,(CM**-1),CHHHD
MODE,49,FREQUENCY=,221.25419,(CM**-1),CHHHD
MODE,50,FREQUENCY=,228.55272,(CM**-1),CHHHD
MODE,51,FREQUENCY=,242.53505,(CM**-1),CHHHD
MODE,52,FREQUENCY=,250.79503,(CM**-1),CHHHD
MODE,53,FREQUENCY=,270.77733,(CM**-1),CHHHD
MODE,54,FREQUENCY=,275.97075,(CM**-1),CHHHD
MODE,55,FREQUENCY=,279.86169,(CM**-1),CHHHD
MODE,56,FREQUENCY=,305.48691,(CM**-1),CHHHD
MODE,57,FREQUENCY=,316.00536,(CM**-1),CHHHD
MODE,58,FREQUENCY=,324.48033,(CM**-1),CHHHD
MODE,59,FREQUENCY=,325.84019,(CM**-1),CHHHD
MODE,60,FREQUENCY=,329.16052,(CM**-1),CHHHD
MODE,61,FREQUENCY=,358.68933,(CM**-1),CHHHD
MODE,62,FREQUENCY=,359.96169,(CM**-1),CHHHD
