series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7378151260504202,0.018608764275139356,0.0676304236909639,-4.050167836603412,-12.770985850544575,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7445378151260504,0.018055223295052516,0.06561869235850079,-3.9299499521973895,-12.393468349959354,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7512605042016807,0.017506530121268904,0.06362457790806993,-3.8107693471922874,-12.019114570169188,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7579831932773109,0.016962600556267155,0.06164777438533182,-3.6926081368038592,-11.647870721154689,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7647058823529411,0.016423352625190436,0.05968798393392115,-3.5754488960547883,-11.279684396541896,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7714285714285716,0.015888706405586404,0.05774491612914965,-3.45927464688774,-10.914504513126703,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7781512605042018,0.015358584018396387,0.05581828797979719,-3.344068838985246,-10.552281265927649,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.784873949579832,0.014832909542027081,0.053907823608425116,-3.2298153349028977,-10.192966078075584,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7915966386554623,0.014311608952573461,0.05201325403196465,-3.116498399329515,-9.83651157325094,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7983193277310925,0.01379461007024228,0.05013431697038591,-3.004102686376036,-9.482871540908008,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8050420168067227,0.013281842484736111,0.04827075656955032,-2.8926132266371942,-9.132000894332627,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8117647058823529,0.01277323756734107,0.04642232345372615,-2.7820154289409316,-8.783855701589522,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8184873949579832,0.012268728289371365,0.04458877405569542,-2.672295040318122,-8.438393018824126,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8252100840336134,0.011768249238177264,0.04276987069259523,-2.5634381421992023,-8.095570894951294,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8319327731092439,0.011271736418906218,0.04096538080274518,-2.45543112634527,-7.755348262180912,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8386554621848741,0.010779127497564206,0.03917507788511413,-2.3482607301094873,-7.417685139349048,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8453781512605043,0.010290361544968998,0.037398740534046696,-2.241913990343851,-7.082542420467122,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8521008403361345,0.009805378923310067,0.03563615201017918,-2.136378229978,-6.74988184541669,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.8588235294117648,0.00932412153415402,0.03388710119577438,-2.031641086785142,-6.419666121760944,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.865546218487395,0.008846532667349737,0.03215138203997337,-1.927690480206246,-6.091858797992576,0.04170703887939453,40.28366353970489,1000.0,True,0.195
